z y z
-12 -87 4
-42 -66 4
-14 -78 29
-29 -97 -10
-30 -95 -4
-39 -89 -14
-31 -72 -18
-26 -26 54
-39 -26 51
-42 -6 46
-48 -0 38
-52 2 48
-16 -89 24
-4 -45 22
-10 -71 35
-25 -83 26
-24 -73 34
-45 -58 -23
-27 -80 15
-39 -86 3
-44 -81 -7
-43 -80 -16
-47 -72 5
-45 -24 11
-60 -46 21
-6 19 66
-5 -50 48
-63 -49 12
-4 -66 49
-3 -62 34
-9 -61 11
-1 -20 38
-3 -56 17
-1 -40 30
-8 -46 33
-4 -42 60
-16 -38 47
-13 -29 40
-13 -45 71
-5 -19 47
-9 -1 43
-18 -53 62
-6 2 56
-19 6 70
-10 -58 58
-12 -72 51
-38 -48 61
-29 -57 53
-22 -65 60
-21 -63 44
-49 -26 61
-39 -37 52
-36 -22 45
-35 -12 67
-11 -13 73
-60 5 32
-2 -1 40
-2 12 28
-4 20 32
-10 14 37
-2 40 -1
-8 38 23
-6 31 43
-12 46 -1
-5 49 -8
-36 32 -15
-39 19 53
-22 25 41
-4 54 23
-12 38 52
-19 46 40
-8 68 10
-43 17 36
-56 16 11
-50 26 3
-47 29 -12
-42 49 -12
-53 6 17
-42 12 26
-39 3 28
-47 21 21
-45 32 12
-47 29 27
-39 38 32
-41 50 10
-28 41 20
-21 55 26
-2 51 -19
-25 56 -5
-13 62 -18
-24 47 -13
-22 25 -18
-12 31 -21
-35 19 -20
-28 -55 41
-23 -5 52
-30 6 57
-26 23 57
-59 -1 6
-61 -16 11
-47 -22 15
-41 -15 18
-40 -23 -3
-40 -36 15
-51 -33 16
-41 -6 -3
-50 0 -7
-40 10 4
-36 9 3
-30 4 -18
-31 25 -3
-37 14 -14
-50 2 1
-35 2 12
-42 -4 13
-50 -30 36
-36 -43 41
-16 -11 -29
-21 -31 -11
-31 -27 -16
-22 -56 1
-27 -8 -37
-53 13 -17
-55 -24 3
-63 -16 -4
-22 -37 -19
-32 -38 -18
-53 -9 -15
-52 -33 -3
-56 -37 -7
-41 19 -35
-63 -10 -22
-60 -45 -12
-58 -24 -33
-42 -21 -26
-47 -43 -25
-61 -60 -0
-46 -60 -9
-55 -45 6
-50 -63 13
-44 -71 14
-17 -73 29
-44 -83 22
-39 -51 36
-28 -70 42
-31 -77 23
-61 -24 25
-60 -39 37
-51 -59 42
-39 -58 23
-41 -74 37
-20 -86 39
-18 -54 -11
-29 -60 -11
-31 -37 -16
-43 -77 -2
-48 -66 -2
-37 -89 10
-47 -81 11
-28 -53 -8
-12 -52 34
-3 -38 45
-31 -51 -20
-4 23 -14
-8 34 -14
-14 15 -16
-38 -14 -5
-38 -17 15
-33 26 5
-25 60 4
-42 40 0
-40 -3 -47
-45 -18 0
-47 -28 6
-66 -21 4
-52 -13 -17
-65 -29 -19
-44 -5 -16
-11 29 27
-2 36 17
15 -82 6
44 -66 3
16 -77 29
29 -99 -6
29 -93 2
39 -90 -10
29 -73 -15
29 -24 56
39 -24 50
43 -3 47
45 1 35
52 3 46
16 -89 29
6 -41 25
10 -70 36
26 -82 30
26 -69 36
43 -57 -22
29 -76 20
39 -84 4
45 -83 -6
45 -80 -16
49 -71 6
45 -22 11
65 -37 22
8 17 66
6 -52 50
58 -43 14
6 -66 49
3 -59 34
11 -60 16
1 -22 40
5 -53 19
2 -41 32
9 -46 33
3 -41 63
15 -40 51
14 -33 40
11 -45 75
5 -19 49
9 -5 47
19 -50 61
5 4 57
21 6 67
8 -59 61
14 -72 55
37 -47 64
29 -55 52
20 -63 62
24 -64 46
48 -24 62
36 -35 47
36 -25 47
37 -10 65
14 -13 67
61 7 32
2 -2 43
2 10 29
3 19 34
11 13 39
3 41 -1
10 36 24
6 28 47
12 44 -2
6 48 -8
34 32 -18
41 22 49
25 28 44
5 52 22
11 41 52
20 49 36
8 67 7
39 18 35
56 18 12
52 26 1
48 31 -16
44 53 -9
49 7 16
42 18 22
37 7 26
47 28 18
48 35 7
50 32 29
37 38 28
42 50 12
26 43 22
18 57 21
6 49 -14
24 58 -7
13 63 -18
24 43 -14
22 24 -21
12 33 -20
33 20 -18
30 -54 43
26 -2 49
34 13 57
23 20 59
57 -2 9
60 -14 15
44 -22 15
41 -14 19
40 -23 1
42 -35 17
48 -30 22
42 -6 -1
51 -0 -5
39 12 7
37 9 2
34 6 -20
32 25 -3
37 16 -13
48 2 4
35 6 11
42 -4 15
52 -27 41
34 -41 39
18 -14 -25
19 -31 -11
34 -26 -16
21 -51 -0
26 -11 -36
54 13 -18
60 -17 6
65 -17 -3
20 -34 -18
34 -37 -17
53 -7 -16
47 -29 -4
58 -32 -7
41 19 -37
64 -6 -26
62 -45 -14
60 -18 -31
42 -20 -23
47 -40 -22
58 -54 -4
47 -61 -10
47 -41 8
54 -61 6
40 -65 14
18 -68 30
45 -80 24
43 -46 37
34 -67 46
33 -74 27
61 -22 27
61 -33 37
55 -49 40
51 -60 24
43 -68 38
22 -83 44
18 -53 -11
28 -59 -10
33 -36 -15
46 -78 -2
45 -63 -3
35 -87 15
47 -79 10
29 -54 -8
12 -52 35
4 -44 40
27 -48 -19
3 20 -15
6 33 -13
16 12 -17
39 -17 -5
38 -15 16
37 26 5
26 58 6
44 40 -4
38 -5 -48
45 -18 4
49 -26 8
68 -17 4
56 -14 -17
65 -28 -19
45 -7 -13
12 27 28
2 36 17
