lobe_id	lobe_lh	strength	clustering	betweenness
3	3	35.63579062	7.366487193	0
5	5	50.00160655	3.925134547	40
1	1	36.65460358	7.348740994	0
4	4	78.44412486	5.136688735	20
3	3	28.50565411	2.432208393	24
3	3	52.62298545	3.529253241	12
2	2	89.10084398	4.00529754	30
3	3	61.4792209	4.346137715	2
5	5	103.5148473	3.225722768	216
4	4	102.1334168	2.713445604	98
1	1	65.10782089	3.462304304	66
4	4	127.3366733	2.317600202	530
1	1	77.8099289	2.155598181	186
3	3	82.49654477	3.859928575	26
3	3	54.64622409	2.493598318	72
2	2	85.30813949	4.287181238	24
1	1	60.09116191	4.302612442	6
1	1	44.478715	5.388935054	0
1	1	52.13538458	4.439744606	0
4	4	79.03679219	5.124029654	0
2	2	88.92883959	3.523842425	66
5	5	74.22189546	3.878667081	56
1	1	122.6257786	2.856952074	86
2	2	131.1699568	3.137351693	96
5	5	42.57062238	3.823659329	22
1	1	79.49301005	2.544656395	182
1	1	147.8661907	2.135570482	230
2	2	143.0913663	2.94498782	114
3	3	98.57636121	2.772164093	180
2	2	77.76267029	4.572677943	2
1	1	27.57979482	4.612949759	8
3	3	44.1551038	2.96216063	70
3	3	18.92282634	6.713980979	0
5	5	127.3656279	2.254609352	284
3	8	28.99342338	7.525885969	0
5	10	55.88079193	3.501675148	36
1	6	36.16483946	8.727503228	0
4	9	72.40645122	5.478215804	0
3	8	33.97854274	2.402379719	38
3	8	47.24085627	3.854159895	6
2	7	87.45173338	4.389517468	28
3	8	60.14422859	4.282481703	22
5	10	93.3499961	3.439810101	198
4	9	119.7909168	2.635833852	148
1	6	76.2246284	3.28427311	54
4	9	119.270968	2.731602364	272
1	6	69.83440932	2.163999735	256
3	8	83.06926939	3.729163218	36
3	8	60.1572218	2.704072327	94
2	7	85.24158471	4.292917856	12
1	6	53.55819225	4.837685462	8
1	6	52.30779875	5.101182504	0
1	6	47.69442436	4.595681857	12
4	9	79.350396	3.919665755	150
2	7	82.52981737	3.873637893	20
5	10	75.9424827	4.05408604	40
1	6	122.7510493	2.994900369	100
2	7	133.3873998	2.913851463	128
5	10	32.7720964	4.512491164	0
1	6	104.7637812	2.53046551	206
1	6	141.530416	2.104969915	204
2	7	174.2415183	2.690957651	212
3	8	92.05087665	3.088354521	152
2	7	76.25542927	4.156132452	6
1	6	43.33031561	3.721075489	18
3	8	45.4035276	3.074563311	78
3	8	18.44780631	6.631319267	0
5	10	129.4177782	2.513290746	198
