x y z
-51.488243 -44.532475 3.98116
-2.399654 21.535208 27.920008
-42.158409 13.775024 52.738483
-1.325158 -77.663254 19.768126
-18.387379 -6.252584 -33.903851
-36.345196 -46.385017 -24.589954
-41.211884 -73.392685 36.269283
-55.004021 -35.246262 -31.281734
-2.270758 -47.301586 18.136822
-30.649435 -94.211998 -7.103795
-23.376028 28.349405 -15.090726
-9.489585 -70.671028 -4.763259
-1.952419 37.191601 -20.52655
-68.38472 -27.819386 -14.523996
-21.432999 -32.492638 -21.956829
-3.370287 -30.199017 56.324139
-55.175831 17.58375 12.377868
-44.555607 41.897259 -16.14123
-52.336628 29.29887 -1.89343
-12.584375 -82.30574 8.228292
-52.208496 -15.849643 50.269066
-1.168734 -17.626329 40.973732
-43.129803 -15.172587 44.248238
-4.423517 -61.326813 37.477413
-2.710515 38.208122 2.137307
-29.112066 48.139042 17.274532
-5.155486 37.30825 53.963024
-18.79738 -66.219025 49.461418
-62.296204 -6.873533 1.067688
-59.928577 -39.460541 35.256462
-7.603816 66.452934 -10.408242
-28.454578 17.362646 -37.854504
-44.557755 -21.590984 9.871572
-41.342583 -4.694067 -1.327582
47.180145 -40.119659 6.653915
2.368528 21.961224 28.837214
43.212044 12.825743 52.265007
2.425944 -76.593491 21.300121
21.06189 -5.706641 -35.062248
34.785465 -43.795433 -23.771099
47.076366 -66.485451 30.199352
55.718018 -33.030857 -30.792736
4.236041 -47.037636 15.477562
33.015251 -91.551376 -4.491279
22.219938 24.813013 -18.481836
7.24434 -67.624016 -2.234304
3.430376 36.883251 -18.951653
68.68811 -22.283566 -12.071207
23.807163 -33.727882 -20.634228
4.475093 -27.624851 55.645088
57.948875 15.097406 11.900273
46.449394 42.328773 -15.643476
55.09951 28.308115 1.345812
14.295375 -80.029076 8.281263
46.961575 -26.285976 47.070198
1.948968 -16.921707 41.726349
45.799175 -11.549573 43.742256
5.885901 -57.295635 37.152626
3.736888 38.238937 3.842783
29.14085 47.82259 16.870459
4.120167 36.810848 52.442463
20.039425 -68.499001 53.123302
65.190201 -3.83362 -1.81512
60.831902 -32.021122 37.001652
8.397614 65.790115 -12.222923
28.322855 16.986437 -35.237198
44.857758 -19.441118 9.036699
42.005634 -2.799054 -2.122821
