Network_ID	Network_LH	Strength
1	1	245.3529499
2	2	67.72905639
2	2	119.1665566
2	2	238.2382509
2	2	247.4595338
2	2	199.1016473
2	2	74.48821069
3	3	320.0238085
3	3	176.2524567
4	4	87.54065627
5	5	82.19498209
6	6	152.8873478
2	2	186.1040387
7	7	314.6895278
7	7	218.6478101
2	2	70.20609669
2	2	69.83036148
2	2	129.4077351
2	2	78.00110671
2	2	62.5140021
2	2	119.5621835
2	2	122.9018061
2	2	97.88126556
8	8	48.83396039
6	6	127.4798827
6	6	171.8670232
10	10	151.5667282
6	6	135.9406975
7	7	113.8920226
9	9	147.9945507
9	9	118.5274772
9	9	84.54988878
9	9	65.34741605
9	9	63.36068721
9	9	86.58890872
3	3	95.44191368
4	4	119.3757237
4	4	116.3073691
3	3	120.2569635
3	3	124.9436845
3	3	82.64282901
3	3	157.6061948
4	4	164.3751927
4	4	187.2550204
4	4	171.9274879
5	5	132.1865469
3	3	142.996087
2	2	104.0094942
2	2	159.8329791
5	5	120.6909445
3	3	251.1498836
3	3	202.7099645
3	3	108.312603
3	3	107.183771
3	3	130.8798393
3	3	224.7761241
4	4	90.34022837
4	4	145.3372311
4	4	88.3452628
4	4	106.878814
9	9	96.47902249
9	9	112.9507609
7	7	136.1313426
9	9	93.16032969
9	9	105.8012811
9	9	32.46780993
9	9	195.3411978
9	9	98.68929812
9	9	187.4031445
9	9	165.7448038
9	9	96.35536018
9	9	157.754113
7	7	163.2905379
6	6	224.0732937
6	6	166.6518617
9	9	147.8916526
7	7	166.8419352
4	4	238.1538893
6	6	86.16992224
7	7	50.70124272
6	6	129.512538
7	7	116.3401393
7	7	135.4556957
4	4	113.628243
7	7	88.99991425
4	4	117.6165775
9	9	112.381649
9	9	121.1953148
7	7	63.06310388
9	9	141.9506883
7	7	116.7717915
7	7	65.12646397
9	9	109.4941104
9	9	87.24348137
5	5	71.49983748
5	5	109.5816047
7	7	116.5293776
7	7	109.9937679
4	4	188.5588727
3	3	98.45811244
3	3	85.43382351
3	3	79.24295709
8	8	83.58732468
8	8	83.80001163
4	4	108.9637767
4	4	186.6232321
8	8	57.86566485
4	4	155.6498002
4	4	88.42863713
12	12	108.6280898
7	7	61.29409653
12	12	81.40096604
4	4	126.0212917
4	4	26.54864591
3	3	51.44482859
5	5	86.62238516
5	5	81.17981207
9	9	69.57950562
9	9	127.7797627
9	9	246.2366742
1	1	136.769245
11	11	113.5040331
6	6	103.8348258
8	8	114.1246343
6	6	120.4516521
9	9	105.5929807
5	5	93.59377675
6	6	110.8315747
6	6	122.0174213
9	9	107.8960402
9	9	239.9151664
9	9	122.9389258
7	7	212.545494
9	9	146.1482916
11	11	148.5180759
