x y z
-11.118515 -84.902252 2.529467
-41.518734 -66.459549 6.595893
-13.450539 -78.98172 29.765696
-2.794546 -85.491219 18.44956
-23.936169 -94.784119 3.406166
-34.711258 -89.272903 -7.886921
-31.380644 -73.330757 -14.569025
-28.863028 -25.471859 55.971867
-39.135143 -25.516071 49.074661
-40.092838 -5.648606 46.386967
-45.885349 -1.239978 38.446274
-47.846546 1.376183 50.058167
-13.993534 -87.841858 26.082325
-6.807016 -41.486576 24.062666
-9.93624 -68.185783 36.988258
-23.364323 -82.589409 28.734829
-22.569931 -72.005089 35.94305
-42.347168 -56.654011 -17.698744
-26.313074 -80.145103 16.734623
-38.038506 -85.048302 5.165194
-42.760109 -81.463974 -3.18507
-38.814911 -80.099594 -11.89519
-45.785522 -72.962967 9.222253
-42.687012 -24.21051 10.91693
-58.361607 -45.956741 23.785608
-6.13602 16.075663 65.241394
-6.526369 -50.556763 49.494804
-59.130825 -50.446869 15.625302
-5.587665 -65.034111 50.169407
-3.658324 -62.032482 35.098423
-10.721977 -57.295467 14.330763
-1.923232 -21.899418 37.987362
-4.660954 -55.169861 19.194727
-2.432084 -39.654114 30.000021
-9.374071 -45.846985 31.621437
-4.439015 -41.603065 62.419773
-15.365008 -39.255077 49.299076
-11.095254 -31.282379 39.371922
-13.203486 -43.804733 70.891624
-6.282592 -19.074625 47.913948
-10.172698 -4.281253 42.337524
-18.049793 -51.830414 64.750145
-6.472819 1.241944 56.163239
-18.927124 4.64949 68.280724
-10.094411 -57.531647 58.599312
-12.777557 -70.101707 53.224632
-35.234859 -48.554138 62.47427
-28.172449 -55.877499 52.203358
-22.051229 -61.962906 60.267181
-21.410122 -63.17131 44.797558
-49.359997 -27.889269 57.794357
-34.155201 -38.669003 50.356178
-34.840801 -21.45159 42.450558
-34.198338 -13.184434 66.181244
-10.742376 -15.045032 72.592987
-58.119339 4.868537 32.127693
-2.174219 -3.474712 39.336655
-3.162389 2.317203 30.562695
-4.226116 18.25968 30.97444
-9.478575 13.747825 38.212364
-4.605261 39.929581 -3.080969
-8.843704 41.666264 23.930162
-5.810013 30.418945 44.92017
-11.198962 49.549847 -0.277455
-7.170443 51.352264 -9.323688
-34.094154 31.82642 -12.723154
-36.192696 18.301512 52.240536
-19.938709 25.366436 41.868286
-5.766216 52.62867 25.630072
-9.771131 36.280323 52.758682
-16.460583 45.576557 39.154499
-8.524705 67.361908 11.846913
-39.806675 14.28775 37.503899
-55.238991 15.465263 13.310253
-48.661018 27.075712 4.107646
-45.442516 29.68577 -9.945703
-40.347141 48.227314 -13.623916
-51.784386 5.237123 17.544056
-39.474926 10.819189 24.398621
-37.346947 2.841381 29.574268
-44.711826 20.800411 22.575745
-42.14856 31.99383 13.080603
-44.384212 27.59465 29.510805
-36.012787 38.524628 30.513325
-37.995476 52.411976 9.626027
-25.872461 43.668598 20.430601
-17.889532 56.548355 26.5823
-3.226985 54.327271 -19.598169
-23.99762 57.146358 -4.690396
-11.014299 61.876606 -13.294849
-24.616156 48.003803 -11.437736
-20.868156 26.855305 -16.830952
-11.493773 35.953247 -19.387094
-32.679104 19.701845 -17.661722
-28.003891 -54.52652 41.709126
-20.981928 -4.965496 52.656319
-27.777203 7.061239 56.579685
-21.205713 23.055531 56.15799
-57.444359 1.118867 9.427864
-57.555695 -13.00375 13.983437
-45.690407 -22.360607 18.892715
-38.114227 -17.573521 20.38719
-38.956322 -23.825163 -0.121446
-37.061356 -35.646202 17.506697
-49.845928 -32.805271 21.419825
-39.417561 -3.697259 -1.589169
-49.745701 0.88103 -5.705907
-37.688732 12.027606 8.172297
-35.354233 9.255578 1.68395
-31.385834 5.145026 -15.303752
-28.196419 25.060568 -3.185011
-33.562965 13.864331 -11.122792
-47.766392 1.51788 4.602736
-33.674053 2.448468 13.265195
-42.186935 -5.063827 15.655539
-52.030972 -28.100046 36.945328
-36.395824 -41.351192 42.684071
-17.576822 -14.622374 -25.99666
-16.032207 -31.36499 -11.436706
-31.675375 -26.133129 -14.943439
-20.177416 -51.156052 1.318378
-28.679478 -6.005033 -33.369385
-52.116627 13.984505 -14.992007
-51.77467 -27.024818 8.002826
-61.066639 -17.758581 -2.111439
-20.496571 -36.633896 -14.936401
-31.890907 -40.2122 -14.556748
-51.396461 -3.792647 -12.400524
-49.332687 -32.030182 0.577133
-53.086678 -32.834793 -5.193578
-41.197197 18.080067 -34.51936
-61.728474 -7.161677 -18.869112
-57.513435 -43.213444 -8.424794
-57.447727 -21.580212 -27.712606
-43.514809 -20.116386 -22.602556
-47.593597 -45.255531 -17.910809
-60.005585 -57.396339 1.914874
-44.026943 -59.611477 -5.539381
-48.161228 -45.415993 8.972465
-51.317974 -61.161495 13.24741
-41.769459 -69.331596 18.274221
-20.792734 -64.923119 20.193319
-40.661884 -82.694359 24.078661
-39.140499 -51.418816 39.669922
-29.371553 -68.86602 43.671333
-30.66217 -76.533829 27.457747
-58.484959 -23.339586 25.442371
-58.955505 -37.285633 38.607368
-49.573399 -55.82444 43.957092
-42.351639 -56.981464 25.066433
-40.616722 -73.525589 37.219215
-20.247295 -84.564461 41.864731
-19.36104 -54.217815 -6.816176
-28.687462 -61.720554 -8.673007
-29.5138 -37.230034 -12.733808
-43.957916 -76.78997 2.583618
-45.748283 -64.886871 1.463956
-34.745094 -85.862022 12.700657
-44.281189 -78.34362 12.683421
-27.928211 -54.304005 -4.772833
-12.827135 -50.092808 36.868023
-3.889216 -40.545017 43.30859
-29.518038 -52.224571 -16.428905
-4.572941 22.056776 -14.845101
-6.934523 35.571606 -15.022339
-14.755215 11.694805 -17.08021
-37.989185 -14.594596 -2.839334
-34.54607 -12.041156 14.182352
-32.486954 28.280659 6.759156
-22.811056 60.072151 6.034494
-42.787701 42.425426 -0.592284
-42.160744 0.372978 -43.269524
-46.162491 -15.913038 1.230038
-42.336674 -31.605228 8.050263
-66.127098 -23.970896 6.397537
-51.384029 -9.752798 -16.742853
-63.44043 -28.061302 -14.056642
-44.271614 -2.456164 -14.23792
-10.892873 28.73527 28.941574
-3.775723 36.385826 16.468
15.668194 -78.984489 6.344719
43.836407 -62.893581 3.973891
18.815245 -75.714226 30.194241
6.069031 -81.256432 20.286766
26.159065 -95.687477 11.012807
36.42691 -87.617615 -6.457759
30.378574 -72.072792 -13.179056
29.12751 -23.427135 55.149857
36.771366 -25.403942 48.674225
43.264881 -2.174563 47.775513
44.200932 1.639488 35.957462
49.256191 4.10328 47.326653
18.461357 -87.023651 29.243088
8.135784 -37.84079 26.079443
12.774824 -67.712013 37.842308
27.224937 -80.94416 32.808601
27.489023 -70.160301 35.696136
39.962208 -54.079594 -18.80419
30.036982 -75.431496 20.217354
39.189869 -79.657837 4.436294
45.126427 -79.9403 -3.503437
42.059956 -79.133194 -11.117855
48.286732 -68.42453 7.360397
42.609608 -20.348251 10.666754
64.64624 -32.258232 24.718819
8.033281 13.474078 66.345322
8.386107 -51.860744 49.247128
57.078777 -40.68227 18.146782
8.092925 -66.266937 51.669548
5.314012 -59.227695 35.622581
12.250373 -54.239552 15.823973
3.252608 -21.835718 38.356487
5.914754 -51.63345 18.952583
3.835311 -36.519672 32.520142
10.601629 -44.575874 32.357933
4.931396 -39.905376 66.206619
15.080959 -40.600353 54.670189
13.131315 -33.408916 40.438862
13.610619 -44.540764 73.951828
6.912694 -19.435547 49.87394
10.452262 -5.36824 45.240982
20.986267 -50.775772 63.919796
6.188488 1.254889 58.500072
20.668921 4.147993 67.375565
12.324569 -57.666382 59.880882
17.157923 -70.460304 55.00259
36.249954 -47.612869 64.497009
28.436184 -53.037342 52.086449
22.279074 -61.547695 60.363636
25.061256 -62.905796 45.085651
51.019562 -24.107748 57.28273
34.087311 -33.872513 46.69054
36.518364 -19.793627 43.203754
36.703621 -10.917724 63.770325
14.97572 -13.289433 66.152336
59.805481 7.255484 30.485451
3.783399 -2.278812 41.060238
3.500796 7.226945 30.155497
3.915981 19.376169 32.392117
11.894122 12.610141 39.007885
4.365288 38.699734 -1.664479
11.593624 39.122658 23.633869
7.180298 27.754171 46.662868
11.983561 47.596748 -1.529551
7.312703 48.886063 -9.091823
33.304604 33.331429 -13.709058
39.999924 20.18214 50.142212
22.502714 27.711613 43.866039
7.466119 51.34494 21.626814
13.200269 39.269634 50.621906
18.535223 48.105244 35.389774
8.561518 67.971527 6.775653
39.346611 17.568233 36.188194
54.804379 19.949007 10.896093
51.031338 29.328577 2.54032
47.805622 30.421961 -12.727882
41.383305 51.988979 -11.353917
49.845257 7.85784 14.717829
