Volume Strength Degree Hemisphere
346 2.98214737383422 7 1
304 0.723424200825683 5 1
160 -0.819305922366025 5 1
190 -1.59106286724319 4 1
201 0.21322298347618 7 1
186 1.16239467231196 4 1
564 1.84355458004576 9 1
304 -2.37686459871463 3 1
116 -1.24508133285012 4 1
90 2.93603372072076 7 1
90 0.453165132511649 6 1
108 3.21656425983585 4 1
413 -1.994361715994 5 1
485 -0.570175081170526 7 1
286 1.06043348752522 7 1
149 0.930627981135271 4 1
346 -1.47782256890635 2 2
304 -3.13714754223776 7 2
160 -3.85354651879115 5 2
190 2.63719395570443 4 2
201 0.594100710516863 4 2
186 -4.28870270767992 5 2
564 -1.51124270190368 6 2
304 -4.14459726826716 5 2
116 -0.900104464974093 6 2
90 3.94456313931453 9 2
90 -0.0495610256461937 6 2
108 -3.85423157203454 6 2
413 2.13094232683936 7 2
485 -0.211935481784758 3 2
286 4.36532924627226 9 2
149 2.34927491711548 4 2
