x y z
18 -10 -20
20 -16 -14
6 -12 6
4 -4 4
28 -12 -18
28 -26 -8
22 -36 2
8 -22 4
16 -20 6
8 -8 14
8 -22 14
14 -18 16
20 14 -4
24 8 2
28 -10 2
26 0 8
8 14 6
14 20 10
12 8 18
14 0 22
26 0 -20
20 -4 -14
14 -30 4
10 12 -4
12 20 0
22 -6 0
16 2 0
-20 -10 -20
-22 -16 -14
-8 -12 6
-6 -4 4
-30 -12 -18
-30 -26 -8
-24 -36 2
-10 -22 4
-18 -20 6
-10 -8 14
-10 -22 14
-16 -18 16
-22 14 -4
-26 8 2
-30 -10 2
-28 0 8
-10 14 6
-16 20 10
-14 8 18
-16 0 22
-28 0 -20
-22 -4 -14
-16 -30 4
-12 12 -4
-14 20 0
-24 -6 0
-18 2 0
