Strength Degree Hemisphere
29853.7857142857 91 2
1656.40816326531 32 2
3695.44217687075 40 2
23995.6530612245 82 2
19911.9013605442 81 2
13995.6088435374 68 2
2779.47278911565 26 2
19000.0714285714 123 2
7984.27891156463 59 2
4125.07142857143 51 2
1344.3537414966 20 2
5008.40136054422 62 2
8039.67346938775 73 2
17529.6394557823 210 2
8804.51020408163 141 2
1701.1768707483 28 2
2198.2380952381 44 2
5907.5 58 2
2082.89455782313 38 2
2158.00680272109 30 2
3312.51700680272 38 2
3272.13265306122 34 2
906.455782312925 22 2
1088.99319727891 20 2
3413.5 55 2
11772.8537414966 124 2
3130.8537414966 68 2
3175.30272108844 44 2
2687.97619047619 71 2
3250.91496598639 64 2
4156.9081632653 69 2
1248.86054421769 23 2
1273.47959183673 24 2
1325.54761904762 25 2
1807.40136054422 35 2
2210.27891156463 23 2
3826.69727891156 60 2
4001.86734693878 66 2
2833.32993197279 44 2
5326 47 2
2238.95578231293 40 2
6726.06462585034 102 2
8649.29931972789 103 2
12827.1598639456 121 2
6579.53401360544 119 2
3065.45918367347 72 2
5612.61224489796 69 2
3731.17006802721 61 2
4546.80272108844 73 2
3198.68027210884 57 2
11739.1632653061 84 2
11552.7278911565 93 2
5688.51020408163 63 2
6973.25850340136 63 2
10231.8673469388 68 2
3858.82653061225 50 2
1098.49319727891 24 2
4652.07142857143 69 2
1526.68027210884 34 2
2866.09523809524 52 2
2085.77551020408 29 2
3456.64285714286 59 2
6733.92857142857 92 2
2176.61904761905 37 2
2494.36734693878 37 2
800.1768707483 12 2
12650.4557823129 123 2
6474.75170068027 77 2
9904.8231292517 107 2
8500.02380952381 104 2
6062.69727891156 83 2
9380.28911564626 102 2
9847.94557823129 112 2
8102.61904761905 100 2
7119.98299319728 97 2
3670.04421768707 63 2
9132.33333333334 103 2
8148.22108843538 95 2
3333.66666666667 54 2
2423.19727891156 40 2
4060.99319727891 67 2
6483.41836734694 88 2
5957.80272108843 74 2
6973.01700680272 74 2
6053.36734693878 82 2
9723.07823129252 102 2
8108.82653061224 96 2
4876.81632653061 64 2
4514.21088435374 74 2
4807.07823129252 68 2
5350.15986394558 69 2
2843.25850340136 23 2
5056.93537414966 50 2
2256.92176870748 22 2
1716.65646258503 28 2
9310.28911564626 111 2
4889.37074829932 78 2
3321.47959183673 49 2
3380.1156462585 45 2
3627.58843537415 31 2
2127.05102040816 28 2
2836.78231292517 48 2
3464.7074829932 83 2
3936.38775510204 68 2
2621.5306122449 47 2
4047.62585034014 82 2
1081.09183673469 19 2
5058 89 2
2784.25170068027 48 2
2590.75850340136 33 2
2232.74829931973 46 2
1972.25510204082 43 2
1422.03741496599 25 2
2183.64285714286 50 2
1453.0612244898 34 2
4446.67346938776 38 2
5282.06802721088 58 2
944.380952380952 7 2
1835.87074829932 34 2
23714.1598639456 204 2
5036.30612244898 41 2
4254.15306122449 25 2
1326.03401360544 20 2
2756.59863945578 55 2
3850.21428571429 70 2
2218.01700680272 22 2
3805.49319727891 34 2
3689.33673469388 75 2
5060.5612244898 80 2
4453.44557823129 65 2
11540.6496598639 106 2
6586.37755102041 92 2
13772.6054421769 135 2
11403.0918367347 126 2
9384.75850340136 84 2
7221.55782312925 95 2
8539.44557823129 83 2
9651.02721088436 116 2
2951.17346938776 38 2
2607.41836734694 33 2
1742.30272108844 34 2
4931.05102040816 81 2
6139.89115646258 84 2
3207.63945578231 42 2
4513.93537414966 67 2
2769.63265306123 62 2
4303.78231292517 41 2
11976.6020408163 108 2
14006.1972789116 119 2
7473.40136054422 63 2
11197.7755102041 117 2
2632.04761904762 49 2
1985.34693877551 16 2
1571.68367346939 18 2
1378.69047619048 20 2
1549.5 29 2
3556.70068027211 54 2
2897.63605442177 40 2
2395.94217687075 42 2
3733.15646258503 31 2
1869.14285714286 34 2
779.843537414966 17 2
4675.92857142857 45 2
1231.37414965986 14 2
773.874149659864 11 2
1954.57142857143 21 2
5174.13605442177 132 2
2096.27210884354 40 2
3033.62244897959 61 2
5525.0306122449 80 2
6360.96258503401 92 2
5353.81632653061 42 2
2169.71768707483 41 2
2237.5 52 2
5554.13945578232 86 2
4732.73469387755 87 2
6062.25510204082 85 2
2091.78911564626 41 2
2612.08843537415 52 2
3328.4693877551 53 2
31461.3299319728 95 1
2807.88095238095 40 1
4216.2925170068 41 1
23966.887755102 80 1
19764.0340136054 79 1
12473.2414965986 64 1
2576.55782312925 19 1
17460.7176870748 107 1
6956.92857142857 61 1
5013.01360544218 58 1
1796.2074829932 26 1
3294.75850340136 46 1
9943.78231292517 69 1
17533.4489795918 201 1
9514.26530612245 131 1
3318.2925170068 52 1
3680.31632653061 65 1
5722.84353741497 45 1
2524.75510204082 45 1
1714.44557823129 23 1
2200.93197278912 31 1
4380.73469387755 38 1
1594.65306122449 31 1
641.25850340136 14 1
4023.04761904762 69 1
8872.18367346939 122 1
3648.12585034014 76 1
2835.68027210884 50 1
2555.86054421769 68 1
2779.97959183673 40 1
4564.63265306122 66 1
1514.16326530612 24 1
1172.25850340136 19 1
884.268707482993 18 1
1551.3537414966 26 1
3289.12925170068 38 1
4240.69047619048 74 1
4081.89795918367 66 1
3594.73129251701 58 1
6026.26870748299 48 1
2953.42517006803 41 1
6342.37414965987 103 1
6446.87414965986 75 1
12140.8979591837 117 1
6888.19727891156 119 1
2497.15986394558 60 1
6303.0850340136 84 1
3464.52040816327 67 1
2889.24489795918 67 1
4048.77551020408 70 1
11482.0340136055 86 1
11845.9047619048 110 1
5297.62244897959 58 1
5858.88095238095 55 1
9001.39115646259 66 1
5330.68367346939 55 1
1522.33673469388 29 1
5959.3231292517 86 1
1020.81972789116 21 1
3223.39115646259 53 1
3259.09183673469 43 1
3491.46258503401 62 1
8255.88775510204 108 1
2283.08503401361 40 1
2374.84013605442 35 1
1090.12925170068 14 1
11053.9557823129 114 1
6231.60884353741 83 1
11870.0034013605 118 1
13183.9421768707 140 1
6222.78911564626 88 1
6942.92176870748 88 1
7587.60884353741 93 1
7846.52040816327 101 1
4398.731292517 75 1
4027.43197278912 67 1
9948.17346938775 110 1
9682.55442176871 96 1
2108.30952380952 37 1
1712.30612244898 29 1
4927.39455782313 73 1
5969.95578231293 87 1
8285.90476190476 95 1
7684.05782312925 90 1
4385.43537414966 63 1
9915.88775510205 106 1
7373.08163265306 94 1
4792.50340136055 63 1
4900.3537414966 75 1
7148.45918367347 93 1
6686.12244897959 88 1
2431.5612244898 32 1
5767.22108843538 68 1
2541.41836734694 29 1
1727.3843537415 34 1
8060.93537414966 98 1
5588.41156462585 78 1
4848.21768707483 74 1
4782.62244897959 49 1
4167.34693877551 37 1
1141.16326530612 20 1
2486.98979591837 46 1
1920.54421768707 52 1
3395.14285714286 67 1
2012.98979591837 39 1
5778.04081632653 108 1
1564.2925170068 27 1
3381.4081632653 68 1
2450.94557823129 54 1
3240.02380952381 34 1
2861.08843537415 59 1
2576.12585034014 53 1
1550.17006802721 25 1
1633.49319727891 46 1
1414.87414965986 32 1
3607.53741496599 38 1
5940.83333333333 76 1
606.30612244898 4 1
1408.31972789116 30 1
24857.0544217687 206 1
3613.26190476191 33 1
3556.43537414966 21 1
1339.8843537415 23 1
1999.19727891156 39 1
4941.42517006803 73 1
2104.2925170068 23 1
2542.84353741497 27 1
4764.21428571429 79 1
6834.82993197279 104 1
3041.93537414966 46 1
10755.156462585 97 1
5808.33333333333 84 1
13375.8945578231 142 1
12319.0068027211 121 1
8850.59183673469 66 1
6500.50340136054 78 1
8803.77210884353 102 1
6854.95578231292 80 1
6052.85714285714 88 1
5008.98639455782 65 1
3169.25510204082 43 1
5553.60884353742 81 1
8112.81632653061 101 1
3138.37755102041 46 1
5191.36734693878 83 1
1741.63265306122 37 1
3110.78911564626 30 1
8550.02380952381 92 1
13555.8945578231 130 1
10021.7380952381 103 1
10710.7517006803 127 1
3338.49659863946 53 1
2692.42517006803 16 1
1924.91156462585 20 1
1503.83673469388 22 1
1568.67006802721 28 1
3291.90476190476 52 1
2567.36054421769 40 1
2491.25850340136 38 1
4609.01020408163 37 1
1057.78911564626 19 1
599.897959183674 12 1
3417.43537414966 27 1
1238.02380952381 15 1
1166.60544217687 17 1
2215.84353741497 24 1
6217.47959183674 134 1
1412.69727891156 33 1
3334.0612244898 62 1
6859.90816326531 95 1
5524.99659863946 86 1
4427.95918367347 32 1
1710.43537414966 35 1
1800.75850340136 39 1
5238.71088435374 77 1
3180.5850340136 55 1
6511.5 100 1
2565.59863945578 54 1
2354.00340136054 50 1
3489.03741496599 51 1
