x y z
34 61 67
55 90 57
53 104 43
27 100 33
45 121 43
45 112 28
52 55 68
28 82 58
31 59 49
17 80 44
32 47 66
41 55 71
23 55 63
22 45 59
27 40 61
49 128 35
41 41 66
14 54 43
20 56 17
53 106 31
31 64 12
15 81 36
26 72 23
46 110 42
35 54 49
24 46 34
14 47 44
24 82 20
41 99 58
49 102 60
14 61 50
17 61 55
13 65 44
23 97 37
52 85 16
53 71 13
55 91 35
50 96 21
41 82 21
39 87 21
38 81 47
36 90 34
31 70 23
50 70 20
44 66 28
48 68 38
49 55 43
49 43 54
48 39 39
51 19 49
48 39 31
30 23 43
46 36 27
47 35 21
49 29 17
49 16 18
81 61 67
61 89 57
63 104 43
88.5 100 33
70 121 43
71 111 28
64 55 68
87 82 58
85 59 49
99 80 44
83 47 67
74 55 71
93 55 62
94 45 59
88 41 61
67 128 35
75 41 66
102 53 43
95 56 17
62 106 31
84 64 12
100 81 36
90 72 23
69 110 42
80 54 49
92 46 34
101 47 43
92 82 20
75 99 58
67 102 60
102 61 50
99 61 55
103 65 44
92 97 37
64 85 16
63 71 13
61 91 35
66 96 21
75 82 21
77 87 21
78 81 47
80 90 34
85 70 24
66 70 20
72 66 28
68 68 38
67 55 43
66 43 54
68 39 39
65 19 49
68 38.5 31
86 23 43
70 36 27
69 35 21
67 29 18
67 16 18
