x y z
-3.159407 -87.63855 -10.30959
-11.905758 -96.161049 -7.537459
-34.651012 -59.536362 -16.390913
-27.725294 -56.534359 -9.543889
-32.868668 -80.88356 -14.068507
-21.73035 -75.603859 -7.988677
-16.833183 -87.35125 -10.646689
-24.373373 -97.475876 -8.6032
-38.19492 -87.014641 -3.071007
-44.262287 -76.673965 4.194829
-24.222927 -93.466919 4.90337
-11.596314 -101.262581 6.65511
-32.147869 -86.552155 8.27527
-20.445982 -92.505981 18.635857
-25.034222 -80.674583 20.275385
-9.419701 -58.510303 2.751638
-6.50955 -75.176971 6.162441
-8.41946 -90.69474 2.893336
-20.564558 -69.921371 7.152276
-5.976515 -79.725777 12.050241
-23.741653 -47.350651 -6.287909
-14.963142 -61.26535 -3.989393
-8.573908 -75.853897 -3.245794
-15.331221 -45.65247 -4.1106
-22.58884 -55.309662 4.274804
-9.691714 -93.829544 15.245811
-4.747749 -84.795837 24.241497
-10.840408 -73.824524 20.91201
-15.476213 -87.059074 31.362799
-14.640883 -78.371574 33.557865
-44.417206 -28.918432 44.458519
-44.775803 -18.634914 52.239975
-40.496273 -13.22003 49.144264
-7.548419 -13.393872 48.286839
-44.960728 -31.693598 54.929035
-37.89957 -26.685705 49.422215
-9.8179 -37.915806 54.292961
-35.547504 -21.920855 62.01231
-5.170479 -25.145096 56.296951
-29.238754 -44.917747 60.7253
-5.616 -7.663898 62.079571
-32.543739 -31.403004 59.53772
-28.919308 -12.327724 60.566216
-28.12871 -37.357628 62.364845
-10.511461 -41.808247 68.074997
-20.750332 -25.541367 61.823975
-19.550938 -31.732742 64.210228
-18.150946 -14.063257 67.672401
-18.929426 -37.151714 67.254013
-2.441384 -33.273552 66.643837
-7.015388 -17.04512 72.382675
-12.329369 -27.451454 69.692505
-10.856562 -34.540169 72.141129
-57.866928 -6.660156 17.756205
-61.336369 -13.261344 29.904192
-54.532364 -4.30826 30.1917
-52.65313 -10.882862 27.128567
-48.494099 -15.69557 37.7962
-48.485882 -10.401002 41.703064
-36.420788 -20.301317 39.256405
-35.51329 -12.314688 17.201859
-33.748383 -27.744474 19.217701
-50.399914 -15.742018 15.066573
-59.632797 -5.18513 10.75282
-47.902096 -25.931646 18.440445
-58.520733 -19.223082 21.541775
-33.488396 -23.17444 7.623707
-54.617474 -4.006523 0.758394
-55.964493 -18.488552 5.588017
-43.363533 -19.164703 3.773742
-56.954697 -28.887592 10.552973
-44.006401 -30.012011 8.40723
-54.749077 -38.971703 17.351494
-40.851311 -37.389999 16.04192
-44.279331 -42.401848 -18.073654
-45.636604 -56.480099 -10.72797
-41.889969 -74.340759 -7.49596
-43.804356 -68.097855 11.744846
-39.070396 -80.839424 16.971762
-30.767881 -82.619461 27.0054
-24.561182 -70.861465 31.723043
-20.64566 -78.285362 42.319611
-23.298317 -64.594841 47.753872
-16.519508 -68.126671 52.876606
-32.848053 -48.821922 49.485874
-29.819357 -53.687832 57.044186
-24.130301 -59.401722 57.900993
-13.748685 -61.838173 60.233295
-51.243412 -63.604317 1.453286
-59.072247 -23.848818 30.56909
-52.660191 -22.042831 39.451511
-53.924385 -30.934069 41.137474
-42.604382 -35.169193 42.387894
-36.877724 -39.642155 50.26292
-10.763645 -55.37492 62.952465
-22.042006 -53.72147 63.746742
-16.914669 -47.285442 67.536354
-38.383266 -4.48022 48.440998
-26.568197 -6.215101 50.110291
-21.315683 -4.574867 59.731998
-47.761292 -37.095955 23.80057
-57.597202 -30.482738 23.393621
-55.969173 -40.643547 28.720821
-59.686192 -34.480637 34.536499
-37.185562 1.276994 13.599919
-50.474586 -1.320661 5.146564
-49.905537 9.793206 13.135284
-39.024364 1.779968 -5.898391
-38.089336 -14.990062 -4.037448
-39.134399 -0.739639 6.176149
-31.103508 19.718189 11.058811
-9.890004 -31.093508 40.521778
-10.772491 -17.633234 39.209057
-12.454354 -42.778938 48.070602
-11.525208 -29.261362 44.879246
-7.346789 -49.011364 57.948624
-8.952432 12.80789 37.299923
-6.19027 -2.750633 41.282177
-6.747385 0.425567 50.017948
-5.329303 1.739235 59.130707
-14.350654 -3.044426 68.997444
-56.309078 -43.16695 39.432549
-37.139473 45.57095 17.118893
-29.52203 41.696178 26.610537
-36.264954 29.513815 35.344139
-33.29652 15.359715 -9.319025
-29.46727 25.922258 -0.795922
-45.044937 13.049331 1.285215
-2.780057 22.895887 23.801645
-2.338576 9.456977 29.042646
-8.835608 29.122498 27.762871
-6.308043 12.333944 51.564407
-12.476452 25.955393 -20.954714
-21.742498 22.203348 -18.989927
-4.574821 44.793903 -24.292078
-17.209581 50.252945 -16.742882
-3.589441 21.380922 -22.266262
-16.153109 61.926834 -5.61026
-32.208481 -0.23373 -44.391182
-47.925812 -6.40206 -39.329529
-24.967497 -8.252602 -34.74086
-40.746418 -14.478979 -27.380407
-25.827436 10.600614 -32.733517
-51.712624 -24.419973 -28.842905
-20.086287 -16.817978 -28.325102
-37.483444 -37.025242 -22.391396
-41.605293 6.643985 -21.513206
-46.705151 3.213848 -12.511398
-56.759502 -53.015011 -8.658044
-29.435232 -72.574432 39.080227
-26.836596 -65.643608 41.771221
-51.263309 -38.939362 45.89912
-34.003548 -59.593002 43.156414
-43.845718 -44.641129 44.550579
-34.117283 -48.669441 40.745644
-39.594597 -40.831478 42.531322
-28.773649 -57.182808 48.291317
-30.780556 4.110607 57.102001
-22.330687 8.662019 53.302994
-41.746201 23.408194 22.349026
-40.142555 34.762932 26.802654
-51.25597 5.772 26.236872
-38.684502 9.993736 28.404661
-44.037163 0.271536 36.810722
-41.08622 35.80827 12.785416
-1.912641 -3.844167 32.403263
-57.373943 -40.615417 -17.841972
-51.288845 -50.03215 42.217102
-41.155327 -52.221615 45.818806
-28.530846 16.507624 50.468948
-18.200294 11.544681 62.829044
-41.996578 17.139166 34.52702
-31.182579 50.999073 -12.655296
-28.627266 54.950424 1.100848
-39.508293 48.843357 0.947635
-28.016405 51.482563 12.041699
-5.254537 24.277899 47.365036
-10.40488 -67.231796 30.467829
-10.32153 -73.178368 41.719631
-7.642128 -67.96386 52.726074
-6.720518 -59.47987 53.269943
-4.583012 -37.548569 25.920425
-2.921607 -22.617783 29.163923
-43.130917 -68.677231 21.022362
-45.237045 -65.845261 30.650068
-39.137188 -69.927872 42.953186
-46.704842 -59.837814 42.239536
-21.106632 40.069328 35.207447
-27.121399 27.9349 41.028797
-20.420015 23.884878 48.455387
-5.183362 -47.251366 13.772598
-5.317688 -52.302822 20.201225
-5.110791 -59.709728 31.686941
-6.638266 -42.089375 33.671654
-2.689225 -30.020781 36.069355
-1.782728 -15.375962 37.323307
-4.281229 -66.011269 43.45509
-8.096715 -50.028191 44.653828
-5.710761 56.224663 -8.200296
-5.903605 37.103592 -8.868034
-6.40129 45.875637 7.120647
-6.576216 57.872787 10.470935
-17.825075 63.691677 10.814377
-5.422146 36.73653 16.049639
-8.413344 43.582058 21.818512
-44.310223 13.087648 -31.350273
-56.372059 -2.04211 -27.003632
-58.767372 -20.446978 -20.432669
-58.784821 -15.332249 -12.187201
-61.564365 -36.562725 -4.925955
-50.03307 -30.624361 -3.4685
-47.828613 -56.76339 23.048409
-55.397564 -51.452446 30.434803
-5.562212 58.22094 24.259621
-22.536221 49.635525 23.598328
-14.734034 53.840614 30.357597
-4.413818 41.451824 40.100014
-13.883615 39.325966 46.560791
-10.107616 23.502504 58.906166
-5.144711 7.416378 66.68084
-38.455345 16.164536 46.955994
-39.914101 4.366822 47.083157
-27.078476 16.468798 -17.259741
-33.563477 37.215729 -10.073401
-38.888992 22.469143 -15.284309
-44.824509 38.833923 -14.74656
-44.135155 30.140968 -5.335041
-46.753677 38.894836 -0.742922
-47.794624 26.980385 2.021825
-52.178291 22.888391 12.33526
-38.434624 -79.029305 32.055588
-9.106193 -47.104027 2.678607
-9.539583 -54.007183 6.838579
-10.248961 -58.564594 16.069046
